iata_code,name,city
"CLZ","Calabozo Airport","Guarico"
"CMB","Bandaranaike International Colombo Airport","Colombo"
"CMC","Camocim Airport","Camocim"
"CME","Ciudad del Carmen International Airport","Ciudad del Carmen"
"CMG","Corumbá International Airport","Corumbá"
"CMJ","Chi Mei Airport","Chi Mei"
"CMK","Club Makokola Airport","Club Makokola"
"CMM","Carmelita Airport","Carmelita"
"CMO","Obbia Airport","Obbia"
"CMP","Santana do Araguaia Airport","Santana Do Araguaia"
"CMX","Houghton County Memorial Airport","Hancock"
"CNA","Cananea National Airport","Cananea"
"CND","Mihail Kogălniceanu International Airport","Constanţa"
"CNG","Cognac-Châteaubernard (BA 709) Air Base","Cognac/Châteaubernard"
"CNH","Claremont Municipal Airport","Claremont"
"CNJ","Cloncurry Airport","Cloncurry"
"CNK","Blosser Municipal Airport","Concordia"
"CNO","Chino Airport","Chino"
"CNP","Neerlerit Inaat Airport","Neerlerit Inaat"
"CNT","Charata Airport","Charata"
"CNU","Chanute Martin Johnson Airport","Chanute"
"CNV","Sócrates Rezende Airport","Canavieiras"
"COC","Comodoro Pierrestegui Airport","Concordia"
"COE","Coeur D Alene - Pappy Boyington Field","Coeur d Alene"
"COF","Patrick Air Force Base","Cocoa Beach"
"COG","Mandinga Airport","Condoto"
"COK","Cochin International Airport","Kochi"
"COL","Coll Airport","Coll Island"
"COM","Coleman Municipal Airport","Coleman"
"CON","Concord Municipal Airport","Concord"
"COO","Cadjehoun Airport","Cotonou"
"COP","Cooperstown-Westville Airport","Cooperstown"
"COR","Ingeniero Ambrosio Taravella Airport","Córdoba"
"COT","Cotulla-La Salle County Airport","Cotulla"
"COY","Coolawanyah Airport","Coolawanyah Station"
"CPB","Capurganá Airport","Capurganá"
"CPF","Ngloram Airport","Tjepu-Java Island"
"CPG","Carmen De Patagones Airport","Carmen de Patagones"
"CPL","Chaparral Airport","Chaparral"
"CPM","Compton Woodley Airport","Compton"
"CPN","Cape Rodney Airport","Cape Rodney"
"CPO","Desierto de Atacama Airport","Copiapo"
"CPT","Cape Town International Airport","Cape Town"
"CQS","Costa Marques Airport","Costa Marques"
"CRA","Craiova Airport","Craiova"
"CRK","Diosdado Macapagal International Airport","Angeles/Mabalacat"
"CRQ","Caravelas Airport","Caravelas"
"CRR","Ceres Airport","Ceres"
"CRS","C David Campbell Field Corsicana Municipal Airport","Corsicana"
"CRV","Crotone Airport","Crotone"
"CRX","Roscoe Turner Airport","Corinth"
"CRZ","Turkmenabat Airport","Türkmenabat"
"CSC","Mojica Airport","Cañas"
"CSD","Cresswell Downs Airport","Cresswell Downs"
"CSE","Crested Butte Airpark","Crested Butte"
"CSF","Creil Air Base","Creil"
"CSM","Clinton Sherman Airport","Clinton"
"CSN","Carson Airport","Carson City"
"CSO","Cochstedt Airport","Magdeburg"
"CSQ","Creston Municipal Airport","Creston"
"CSR","Casuarito Airport","Casuarito"
"CSS","Cassilândia Airport","Cassilândia"
"CSU","Santa Cruz do Sul Airport","Santa Cruz Do Sul"
"CTA","Catania-Fontanarossa Airport","Catania"
"CTC","Catamarca Airport","Catamarca"
"CTE","Carti Airport","Carti"
"CTG","Rafael Nuñez International Airport","Cartagena"
"CTH","Chester County G O Carlson Airport","Coatesville"
"CTI","Cuito Cuanavale Airport","Cuito Cuanavale"
"CTL","Charleville Airport","Charleville"
"CTO","Calverton Executive Airpark","Calverton"
"CTQ","Santa Vitória do Palmar Airport","Santa Vitória Do Palmar"
"CTS","New Chitose Airport","Chitose / Tomakomai"
"CTU","Chengdu Shuangliu International Airport","Chengdu"
"CTZ","Sampson County Airport","Clinton"
"CUA","Ciudad Constitución Airport","Ciudad Constitución"
"CUF","Cuneo International Airport","Cuneo"
"CUH","Cushing Municipal Airport","Cushing"
"CUJ","Culion Airport","Culion Island"
"CUT","Cutral-Co Airport","Cutral-Co"
"CUU","General Roberto Fierro Villalobos International Ai","Chihuahua"
"CUV","Casigua El Cubo Airport","Casigua El Cubo"
"CUZ","Alejandro Velasco Astete International Airport","Cusco"
"CVB","Chungribu Airport","Chungribu"
"CVE","Coveñas Airport","Coveñas"
"CVI","Caleta Olivia Airport","Caleta Olivia"
"CVM","General Pedro Jose Mendez International Airport","Ciudad Victoria"
"CVO","Corvallis Municipal Airport","Corvallis"
"CVQ","Carnarvon Airport","Carnarvon"
"CVU","Corvo Airport","Corvo"
"CWA","Central Wisconsin Airport","Mosinee"
"CWI","Clinton Municipal Airport","Clinton"
"CWJ","Cangyuan Washan Airport","Cangyuan Va Autonomous County"
"CWL","Cardiff International Airport","Cardiff"
"CWS","Center Island Airport","Center Island"
"CWX","Cochise County Airport","Willcox"
"CXB","Cox s Bazar Airport","Cox s Bazar"
"CXC","Chitina Airport","Chitina"
"CXJ","Hugo Cantergiani Regional Airport","Caxias Do Sul"
"CXN","Candala Airport","Candala"
"CXO","Conroe-North Houston Regional Airport","Houston"
"CXP","Tunggul Wulung Airport","Cilacap-Java Island"
"CXQ","Christmas Creek Station Airport","Christmas Creek"
"CXR","Cam Ranh Airport","Nha Trang"
"CXY","Cat Cay Airport","North Cat Cay"
"CYA","Les Cayes Airport","Les Cayes"
"CYB","Gerrard Smith International Airport","Cayman Brac"
"CYC","Caye Chapel Airport","Caye Chapel"
"CYD","Town Airstrip","San Ignacio"
"CYF","Chefornak Airport","Chefornak"
"CYI","Chiayi Airport","Chiayi City"
"CYL","Coyoles Airport","Coyoles"
"CYP","Calbayog Airport","Calbayog City"
"CZB","Carlos Ruhl Airport","Cruz Alta"
"CZC","Copper Center 2 Airport","Copper Center"
"CZF","Cape Romanzof LRRS Airport","Cape Romanzof"
"CZH","Corozal Municipal Airport","Corozal"
"CZK","Cascade Locks State Airport","Cascade Locks"
"CZL","Mohamed Boudiaf International Airport","Constantine"
"CZM","Cozumel International Airport","Cozumel"
"CZN","Chisana Airport","Chisana"
"CZO","Chistochina Airport","Chistochina"
"CZS","Cruzeiro do Sul Airport","Cruzeiro Do Sul"
"CZT","Dimmit County Airport","Carrizo Springs"
"CZU","Las Brujas Airport","Corozal"
"CZW","Częstochowa-Rudniki","Częstochowa"
"CZX","Changzhou Benniu Airport","Changzhou"
"DAB","Daytona Beach International Airport","Daytona Beach"
"DAC","Hazrat Shahjalal International Airport","Dhaka"
"DAD","Da Nang International Airport","Da Nang"
"DAG","Barstow Daggett Airport","Daggett"
"DAR","Julius Nyerere International Airport","Dar es Salaam"
"DAS","Great Bear Lake Airport","Great Bear Lake"
"DAV","Enrique Malek International Airport","David"
"DBA","Dalbandin Airport","Dalbandin"
"DBO","Dubbo City Regional Airport","Dubbo"
"DBQ","Dubuque Regional Airport","Dubuque"
"DBT","Debre Tabor Airport","Debre Tabor"
"DBV","Dubrovnik Airport","Dubrovnik"
"DCF","Canefield Airport","Canefield"
"DCI","Decimomannu Air Base","Decimomannu"
"DCM","Castres-Mazamet Airport","Castres/Mazamet"
"DCU","Pryor Field Regional Airport","Decatur"
"DCY","Daocheng Yading Airport","Daocheng County"
"DDG","Dandong Airport","Dandong"
"DEA","Dera Ghazi Khan Airport","Dera Ghazi Khan"
"DEC","Decatur Airport","Decatur"
"DEE","Mendeleyevo Airport","Kunashir Island"
"DEH","Decorah Municipal Airport","Decorah"
"DEL","Indira Gandhi International Airport","New Delhi"
"DER","Derim Airport","Derim"
"DET","Coleman A. Young Municipal Airport","Detroit"
"DEZ","Deir ez-Zor Air Base","Deir ez-Zor"
"DFW","Dallas Fort Worth International Airport","Dallas-Fort Worth"
"DGL","Douglas Municipal Airport","Douglas"
"DGO","General Guadalupe Victoria International Airport","Durango"
"DGW","Converse County Airport","Douglas"
"DHI","Dhangarhi Airport","Dhangarhi"
"DHT","Dalhart Municipal Airport","Dalhart"
"DIB","Dibrugarh Airport","Dibrugarh"
"DIJ","Dijon-Bourgogne Airport","Dijon/Longvic"
"DIK","Dickinson Theodore Roosevelt Regional Airport","Dickinson"
"DIN","Dien Bien Phu Airport","Dien Bien Phu"
"DIP","Diapaga Airport","Diapaga"
"DIQ","Brigadeiro Cabral Airport","Divinópolis"
"DIR","Aba Tenna Dejazmach Yilma International Airport","Dire Dawa"
"DIS","Ngot Nzoungou Airport","Dolisie"
"DIU","Diu Airport","Diu"
"DJA","Djougou Airport","Djougou"
"DJJ","Sentani International Airport","Jayapura-Papua Island"
"DKA","Katsina Airport","Katsina"
"DKI","Dunk Island Airport","Dunk Island"
"DKK","Chautauqua County-Dunkirk Airport","Dunkirk"
"DKR","Léopold Sédar Senghor International Airport","Dakar"
"DLE","Dole-Tavaux Airport","Dole/Tavaux"
"DLF","DLF Airport","Del Rio"
"DLM","Dalaman International Airport","Dalaman"
"DLR","Dalnerechensk Airport","Dalnerechensk"
"DLU","Dali Airport","Xiaguan"
"DLZ","Dalanzadgad Airport","Dalanzadgad"
"DMB","Taraz Airport","Taraz"
"DME","Domodedovo International Airport","Moscow"
"DMK","Don Mueang International Airport","Bangkok"
"DMM","King Fahd International Airport","Ad Dammam"
"DMO","Sedalia Memorial Airport","Sedalia"
"DMU","Dimapur Airport","Dimapur"
"DNF","Martubah Airport","Derna"
"DNL","Daniel Field","Augusta"
"DNR","Dinard-Pleurtuit-Saint-Malo Airport","Dinard/Pleurtuit/Saint-Malo"
"DNS","Denison Municipal Airport","Denison"
"DNZ","Çardak Airport","Denizli"
"DOA","Doany Airport","Doany"
"DOC","Dornoch Airfield","Dornoch"
"DOG","Dongola Airport","Dongola"
"DOL","Deauville-Saint-Gatien Airport","Deauville"
"DOM","Douglas-Charles Airport","Marigot"
"DON","Dos Lagunas Airport","Dos Lagunas"
"DOP","Dolpa Airport","Dolpa"
"DOV","Dover Air Force Base","Dover"
"DPG","Michael AAF (Dugway Proving Ground) Airport","Dugway Proving Ground"
"DPO","Devonport Airport","Devonport"
"DPT","Deputatskiy Airport","Deputatskiy"
"DQH","Alpine Airstrip","Deadhorse"
"DRA","Desert Rock Airport","Mercury"
"DRE","Drummond Island Airport","Drummond Island"
"DRF","Drift River Airport","Kenai"
"DRG","Deering Airport","Deering"
"DRI","Beauregard Regional Airport","De Ridder"
"DRO","Durango La Plata County Airport","Durango"
"DRS","Dresden Airport","Dresden"
"DRT","Del Rio International Airport","Del Rio"
"DRV","Dharavandhoo Airport","Baa Atoll"
"DSA","Robin Hood Doncaster Sheffield Airport","Doncaster"
"DSC","Dschang Airport","Dschang"
"DSD","La Désirade Airport","Grande Anse"
"DSG","Dilasag Airport","Dilasag"
"DSN","Ordos Ejin Horo Airport","Ordos"
"DSS","Blaise Diagne International Airport","Dakar"
"DSV","Dansville Municipal Airport","Dansville"
"DSX","Dongsha Island Airport","Pratas Island"
"DTA","Delta Municipal Airport","Delta"
"DTB","Silangit Airport","Siborong-Borong"
"DTD","Datadawai Airport","Datadawai-Borneo Island"
"DTL","Detroit Lakes Airport - Wething Field","Detroit Lakes"
"DTR","Decatur Shores Airport","Decatur"
"DTU","Wudalianchi Dedu Airport","Wudalianchi"
"DTW","Detroit Metropolitan Wayne County Airport","Detroit"
"DUD","Dunedin Airport","Dunedin"
"DUE","Dundo Airport","Chitato"
"DUF","Pine Island Airport","Corolla"
"DVD","Andavadoaka Airport","Andavadoaka"
"DVL","Devils Lake Regional Airport","Devils Lake"
"DVN","Davenport Municipal Airport","Davenport"
"DVT","Phoenix Deer Valley Airport","Phoenix"
"DWA","Dwangwa Airport","Dwangwa"
"DWB","Soalala Airport","Soalala"
"DWC","Al Maktoum International Airport","Jebel Ali"
"DWD","King Salman Abdulaziz Airport","Dawadmi"
"DWH","David Wayne Hooks Memorial Airport","Houston"
"DXB","Dubai International Airport","Dubai"
"DXD","Dixie Airport","New Dixie"
"DXE","Bruce Campbell Field","Madison"
"DXR","Danbury Municipal Airport","Danbury"
"DYS","Dyess Air Force Base","Abilene"
"DYW","Daly Waters Airport","Daly Waters"
"DZI","Las Flores Airport","Codazzi"
"DZO","Santa Bernardina International Airport","Durazno"
"EAA","Eagle Airport","Eagle"
"EAB","Abbse Airport","Abbse"
"EAE","Siwo Airport","Emae Island"
"EAL","Elenak Airport","Mejato Island"
"EAN","Phifer Airfield","Wheatland"
"EAR","Kearney Regional Airport","Kearney"
"EAS","San Sebastian Airport","Hondarribia"
"EAT","Pangborn Memorial Airport","Wenatchee"
"EBB","Entebbe International Airport","Kampala"
"EBH","El Bayadh Airport","El Bayadh"
"EBJ","Esbjerg Airport","Esbjerg"
"EBL","Erbil International Airport","Arbil"
"EBN","Ebadon Airport","Ebadon Island"
"EBW","Ebolowa Airport","Ebolowa"
"ECN","Ercan International Airport","Nicosia"
"ECP","Northwest Florida Beaches International Airport","Panama City Beach"
"ECR","El Charco Airport","El Charco"
"ECS","Mondell Field","Newcastle"
"EDE","Northeastern Regional Airport","Edenton"
"EDF","Elmendorf Air Force Base","Anchorage"
"EDI","Edinburgh Airport","Edinburgh"
"EDK","Captain Jack Thomas El Dorado Airport","El Dorado"
"EDL","Eldoret International Airport","Eldoret"
"EDM","La Roche-sur-Yon Airport","La Roche-sur-Yon/Les Ajoncs"
"EDN","Yedinka Airport","Yedinka"
"EDO","Balıkesir Körfez Airport","Edremit"
"EDQ","Erandique Airport","Erandique"
"EDW","Edwards Air Force Base","Edwards"
"EED","Needles Airport","Needles"
"EEK","Eek Airport","Eek"
"EEN","Dillant Hopkins Airport","Keene"
"EFD","Ellington Airport","Houston"
"EFG","Efogi Airport","Efogi"
"EFK","Northeast Kingdom International Airport","Newport"
"EFL","Kefallinia Airport","Kefallinia Island"
"EFW","Jefferson Municipal Airport","Jefferson"
"EGC","Bergerac-Roumanière Airport","Bergerac/Roumanière"
"EGE","Eagle County Regional Airport","Eagle"
"EGH","El Gora Airport","El Gora"
"EGI","Duke Field","Crestview"
"EGL","Negele Airport","Negele Borana"
"EGN","Geneina Airport","Geneina"
"EGS","Egilsstaðir Airport","Egilsstaðir"
"EGV","Eagle River Union Airport","Eagle River"
"EHL","El Bolson Airport","El Bolson"
"EHM","Cape Newenham LRRS Airport","Cape Newenham"
"EIE","Yeniseysk Airport","Yeniseysk"
"EIK","Yeysk Airport","Yeysk"
"EIL","Eielson Air Force Base","Fairbanks"
"EIN","Eindhoven Airport","Eindhoven"
"EIS","Terrance B. Lettsome International Airport","Road Town"
"EIY","Ein Yahav Airfield","Sapir"
"EJA","Yariguíes Airport","Barrancabermeja"
"EJH","Al Wajh Domestic Airport","Al Wajh"
"EJN","Ejin Banner-Taolai Airport","Ejin Banner"
"EJT","Enejit Airport","Enejit Island"
"EKB","Ekibastuz Airport","Ekibastuz"
"EKI","Elkhart Municipal Airport","Elkhart"
"EKX","Addington Field","Elizabethtown"
"ELD","South Arkansas Regional At Goodwin Field","El Dorado"
"ELF","El Fasher Airport","El Fasher"
"ELH","North Eleuthera Airport","North Eleuthera"
"ELJ","El Recreo Airport","Ruperto Polania"
"ELO","El Dorado Airport","El Dorado"
"ELP","El Paso International Airport","El Paso"
"ELR","Elelim Airport","Elelim-Papua Island"
"ELS","Ben Schoeman Airport","East London"
"ELY","Ely Airport Yelland Field","Ely"
"EMD","Emerald Airport","Emerald"
"EME","Emden Airport","Emden"
"EMG","Empangeni Airport","Empangeni"
"EMI","Emirau Airport","Emirau Island"
"EMK","Emmonak Airport","Emmonak"
"EMO","Emo River Airstrip","Emo Mission"
"EMP","Emporia Municipal Airport","Emporia"
"EMS","Embessa Airport","Embessa"
"EMX","El Maiten Airport","El Maiten"
"EMY","El Minya Airport","Minya"
"ENA","Kenai Municipal Airport","Kenai"
"ENB","Eneabba Airport","Eneabba"
"ENC","Nancy-Essey Airport","Nancy/Essey"
"ENF","Enontekio Airport","Enontekio"
"ENH","Enshi Airport","Enshi"
"ENI","El Nido Airport","El Nido"
"ENK","St Angelo Airport","Enniskillen"
"ENL","Centralia Municipal Airport","Centralia"
"ENO","Encarnación Airport","Encarnación"
"ENU","Akanu Ibiam International Airport","Enegu"
"ENW","Kenosha Regional Airport","Kenosha"
"EPG","Browns Airport","Weeping Water"
"EPH","Ephrata Municipal Airport","Ephrata"
"EPR","Esperance Airport","Esperance"
"EPT","Eliptamin Airport","Eliptamin"
"EPU","Pärnu Airport","Pärnu"
"ERA","Erigavo Airport","Erigavo"
"ERE","Erave Airport","Erave"
"ERL","Erenhot Saiwusu International Airport","Erenhot"
"ERM","Erechim Airport","Erechim"
"ERQ","Elrose Airport","Elrose Mine"
"ERR","Errol Airport","Errol"
"ERT","Erdenet Airport","Erdenet"
"ERU","Erume Airport","Erume"
"ERV","Kerrville Municipal Louis Schreiner Field","Kerrville"
"ERZ","Erzurum International Airport","Erzurum"
"ESA","Esa ala Airport","Esa ala"
"ESD","Orcas Island Airport","Eastsound"
"ESG","Dr. Luis Maria Argaña International Airport","Mariscal Estigarribia"
"ESM","General Rivadeneira Airport","Tachina"
"ESR","Ricardo García Posada Airport","El Salvador"
"EST","Estherville Municipal Airport","Estherville"
"ESU","Mogador Airport","Essaouira"
"ETB","West Bend Municipal Airport","West Bend"
"ETM","Ramon Airport","Eilat"
"EUF","Weedon Field","Eufaula"
"EUO","Paratebueno Airport","Paratebueno"
"EVD","Eva Downs Airport","Eva Downs"
"EVM","Eveleth Virginia Municipal Airport","Eveleth"
"EVN","Zvartnots International Airport","Yerevan"
"EVX","Évreux-Fauville (BA 105) Air Base","Évreux/Fauville"
"EWB","New Bedford Regional Airport","New Bedford"
"EWE","Ewer Airport","Asmat"
"EWO","Ewo Airport","Ewo"
"EYR","Yerington Municipal Airport","Yerington"
"EYS","Eliye Springs Airport","Eliye Springs"
"FAA","Faranah Airport","Faranah"
"FAB","Farnborough Airport","Farnborough"
"FAE","Vagar Airport","Vagar"
"FAF","Felker Army Air Field","Fort Eustis"
"FAG","Fagurhólsmýri Airport","Fagurhólsmýri"
"FAH","Farah Airport","Farah"
"FAI","Fairbanks International Airport","Fairbanks"
"FAJ","Diego Jimenez Torres Airport","Fajardo"
"FAN","Lista Airport","Farsund"
"FAR","Hector International Airport","Fargo"
"FAS","Fáskrúðsfjörður Airport","Fáskrúðsfjörður"
"FAU","Fahud Airport","Fahud"
"FBA","Fonte Boa Airport","Fonte Boa"
"FBE","Francisco Beltrão Airport","Francisco Beltrão"
"FBK","Ladd AAF Airfield","Fairbanks/Ft Wainwright"
"FBL","Faribault Municipal Airport-Liz Wall Strohfus Fiel","Faribault"
"FCA","Glacier Park International Airport","Kalispell"
"FCB","Ficksburg Sentraoes Airport","Ficksburg"
"FCM","Flying Cloud Airport","Minneapolis"
"FCS","Butts AAF (Fort Carson) Air Field","Fort Carson"
"FDA","Fundación Airport","Fundación"
"FDE","Førde Airport","Førde"
"FDH","Friedrichshafen Airport","Friedrichshafen"
"FDK","Frederick Municipal Airport","Frederick"
"FDR","Frederick Regional Airport","Frederick"
"FDY","Findlay Airport","Findlay"
"FEA","Fetlar Airport","Fetlar Island"
"FEG","Fergana International Airport","Fergana"
"FEJ","Feijó Airport","Feijó"
"FEN","Fernando de Noronha Airport","Fernando De Noronha"
"FET","Fremont Municipal Airport","Fremont"
"FEZ","Saïss Airport","Fes"
"FFL","Fairfield Municipal Airport","Fairfield"
"FFT","Capital City Airport","Frankfort"
"FFU","Futaleufú Airport","Futaleufu"
"FIE","Fair Isle Airport","Fair Isle"
"FIK","Finke Airport","Finke"
"FKB","Karlsruhe Baden-Baden Airport","Baden-Baden"
"FKI","Bangoka International Airport","Kisangani"
"FKQ","Fakfak Airport","Fakfak-Papua Island"
"FLA","Gustavo Artunduaga Paredes Airport","Florencia"
"FLD","Fond du Lac County Airport","Fond du Lac"
"FLF","Flensburg-Schäferhaus Airport","Flensburg"
"FLG","Flagstaff Pulliam Airport","Flagstaff"
"FLH","Flotta Isle Airport","Flotta Isle"
"FLL","Fort Lauderdale Hollywood International Airport","Fort Lauderdale"
"FLN","Hercílio Luz International Airport","Florianópolis"
"FLP","Marion County Regional Airport","Flippin"
"FLR","Peretola Airport","Firenze"
"FLS","Flinders Island Airport","Flinders Island"
"FLW","Flores Airport","Santa Cruz das Flores"
"FMA","Formosa Airport","Formosa"
"FMC","Five Mile Airport","Five Mile"
"FME","Tipton Airport","Fort Meade(Odenton)"
"FMG","Flamingo Airport","Brasilito"
"FMM","Memmingen Allgau Airport","Memmingen"
"FMO","Münster Osnabrück Airport","Münster"
"FNC","Madeira Airport","Funchal"
"FNG","Fada N gourma Airport","Fada N gourma"
"FNJ","Pyongyang Sunan International Airport","Pyongyang"
"FNL","Northern Colorado Regional Airport","Fort Collins/Loveland"
"FNT","Bishop International Airport","Flint"
"FOA","Foula Airfield","Foula"
"FOK","Francis S Gabreski Airport","Westhampton Beach"
"FOM","Foumban Nkounja Airport","Foumban"
"FON","Arenal Airport","La Fortuna/San Carlos"
"FOO","Kornasoren Airfield","Kornasoren-Numfoor Island"
"FOR","Pinto Martins International Airport","Fortaleza"
"FPR","St Lucie County International Airport","Fort Pierce"
"FPY","Perry-Foley Airport","Perry"
"FRA","Frankfurt am Main Airport","Frankfurt am Main"
"FRD","Friday Harbor Airport","Friday Harbor"
"FRE","Fera/Maringe Airport","Fera Island"
"FRG","Republic Airport","Farmingdale"
"FRH","French Lick Municipal Airport","French Lick"
"FRI","Marshall Army Air Field","Fort Riley(Junction City)"
"FRO","Florø Airport","Florø"
"FRQ","Feramin Airport","Feramin"
"FRR","Front Royal Warren County Airport","Front Royal"
"FRT","El Avellano Airport","Frutillar"
"FRU","Manas International Airport","Bishkek"
"FRW","Francistown Airport","Francistown"
"FSD","Joe Foss Field Airport","Sioux Falls"
"FSI","Henry Post Army Air Field (Fort Sill)","Fort Sill"
"FSS","RAF Kinloss","Kinloss"
"FST","Fort Stockton Pecos County Airport","Fort Stockton"
"FSU","Fort Sumner Municipal Airport","Fort Sumner"
"FTA","Futuna Airport","Futuna Island"
"FTE","El Calafate Airport","El Calafate"
"FTI","Fitiuta Airport","Fitiuta Village"
"FTK","Godman Army Air Field","Fort Knox"
"FTY","Fulton County Airport Brown Field","Atlanta"
"FUB","Fulleborn Airport","Fulleborn"
"FUK","Fukuoka Airport","Fukuoka"
"FUL","Fullerton Municipal Airport","Fullerton"
"FUT","Pointe Vele Airport","Futuna Island"
"FVM","Fuvahmulah Airport","Fuvahmulah Island"
"FVR","Oombulgurri Airport","Forrest River Mission"
"FXE","Fort Lauderdale Executive Airport","Fort Lauderdale"
"FXY","Forest City Municipal Airport","Forest City"
"FYN","Fuyun Koktokay Airport","Fuyun"
"GAB","Gabbs Airport","Gabbs"
"GAC","Celaque Airport","Gracias"
"GAD","Northeast Alabama Regional Airport","Gadsden"
"GAE","Gabès Matmata International Airport","Gabès"
"GAF","Gafsa Ksar International Airport","Gafsa"
"GAM","Gambell Airport","Gambell"
"GAN","Gan International Airport","Gan"
"GAP","Gusap Airport","Gusap"
"GAR","Garaina Airport","Garaina"
"GAS","Garissa Airport","Garissa"
"GAX","Gamba Airport","Gamba"
"GAZ","Guasopa Airport","Woodlark (Muyua) Island"
"GBF","Negarbo(Negabo) Airport","Negarbo"
"GBG","Galesburg Municipal Airport","Galesburg"
"GBJ","Les Bases Airport","Grand Bourg"
"GBU","Khashm El Girba Airport","Khashm El Girba"
"GBW","Ginbata Airport","Ginbata"
"GCD","Grand Coulee Dam Airport","Electric City"
"GCH","Gachsaran Airport","Gachsaran"
"GCJ","Grand Central Airport","Midrand"
"GCK","Garden City Regional Airport","Garden City"
"GCW","Grand Canyon West Airport","Peach Springs"
"GCY","Greeneville-Greene County Municipal Airport","Greeneville"
"GDI","Gordil Airport","Melle"
"GDJ","Gandajika Airport","Gandajika"
"GDL","Don Miguel Hidalgo Y Costilla International Airpor","Guadalajara"
"GDM","Gardner Municipal Airport","Gardner"
"GDP","Guadalupe Airport","Guadalupe"
"GDT","JAGS McCartney International Airport","Cockburn Town"
"GDW","Gladwin Zettel Memorial Airport","Gladwin"
"GDX","Sokol Airport","Magadan"
"GEB","Gebe Airport","Gebe Island"
"GEC","Lefkoniko Airport","Geçitkale"
"GEF","Geva Airport","Liangia"
"GEG","Spokane International Airport","Spokane"
"GET","Geraldton Airport","Geraldton"
"GEV","Gällivare Airport","Gällivare"
"GFK","Grand Forks International Airport","Grand Forks"
"GFL","Floyd Bennett Memorial Airport","Glens Falls"
"GFO","Bartica A Airport","Bartica"
"GFR","Granville Airport","Granville"
"GGC","Lumbala Airport","Lumbala"
"GGS","Gobernador Gregores Airport","Gobernador Gregores"
"GGT","Exuma International Airport","George Town"
"GGW","Wokal Field Glasgow International Airport","Glasgow"
"GHE","Garachiné Airport","Garachiné"
"GHF","Giebelstadt Airport","Giebelstadt"
"GHM","Centerville Municipal Airport","Centerville"
"GHN","Guanghan Airport","Civil Aviation Flight University of China"
"GIB","Gibraltar Airport","Gibraltar"
"GII","Siguiri Airport","Siguiri"
"GIT","Mchauru Airport","Geita"
"GIZ","Jizan Regional Airport","Jizan"
"GJA","La Laguna Airport","Guanaja"
"GJL","Jijel Ferhat Abbas Airport","Jijel"
"GJM","Guajará-Mirim Airport","Guajará-Mirim"
"GKA","Goroka Airport","Goronka"
"GKK","Kooddoo Airport","Huvadhu Atoll"
"GKL","Great Keppel Is Airport","Great Keppel Island"
"GKN","Gulkana Airport","Gulkana"
"GKT","Gatlinburg-Pigeon Forge Airport","Sevierville"
"GLA","Glasgow International Airport","Glasgow"
"GLB","San Carlos Apache Airport","Globe"
"GLE","Gainesville Municipal Airport","Gainesville"
"GLF","Golfito Airport","Golfito"
"GLK","Galcaio Airport","Galcaio"
"GLN","Goulimime Airport","Goulimime"
"GLO","Gloucestershire Airport","Staverton"
"GLR","Gaylord Regional Airport","Gaylord"
"GLS","Scholes International At Galveston Airport","Galveston"
"GLT","Gladstone Airport","Gladstone"
"GLU","Gelephu Airport","Gelephu"
"GLV","Golovin Airport","Golovin"
"GLW","Glasgow Municipal Airport","Glasgow"
"GLX","Gamarmalamo Airport","Galela-Celebes Island"
"GLZ","Gilze Rijen Air Base","Breda"
"GMB","Gambella Airport","Gambela"
"GMD","Ben Slimane Airport","Ben Slimane"
"GME","Gomel Airport","Gomel"
"GMM","Gamboma Airport","Gamboma"
"GMO","Gombe Lawanti International Airport","Gombe"
"GMP","Gimpo International Airport","Seoul"
"GMQ","Golog Maqin Airport","Golog"
"GMS","Antônio Guerreiro Airport","Guimarães"
"GMZ","La Gomera Airport","Alajero, La Gomera Island"
"GNB","Grenoble-Isère Airport","Grenoble/Saint-Geoirs"
"GNG","Gooding Municipal Airport","Gooding"
"GNN","Ghinnir Airport","Ghinnir"
"GNS","Binaka Airport","Gunung Sitoli-Nias Island"
"GNV","Gainesville Regional Airport","Gainesville"
"GNY","Şanlıurfa GAP Airport","Şanlıurfa"
"GOE","Gonaili Airport","Gonaili"
"GOG","Gobabis Airport","Gobabis"
"GOI","Dabolim Airport","Vasco da Gama"
"GOJ","Nizhny Novgorod Strigino International Airport","Nizhny Novgorod"
"GOK","Guthrie-Edmond Regional Airport","Guthrie"
"GON","Groton New London Airport","Groton (New London)"
"GOP","Gorakhpur Airport","Gorakhpur"
"GOV","Gove Airport","Nhulunbuy"
"GOZ","Gorna Oryahovitsa Airport","Gorna Oryahovitsa"
"GPD","Mount Gordon Airport","Mount Gordon Mine"
"GPI","Juan Casiano Airport","Guapi"
"GRB","Austin Straubel International Airport","Green Bay"
"GRD","Greenwood County Airport","Greenwood"
"GRF","Gray Army Air Field","Fort Lewis/Tacoma"
"GRK","Robert Gray  Army Air Field Airport","Fort Hood/Killeen"
"GRQ","Eelde Airport","Groningen"
"GRU","Guarulhos - Governador André Franco Montoro Intern","São Paulo"
"GRX","Federico Garcia Lorca Airport","Granada"
"GRY","Grímsey Airport","Grímsey"
"GSA","Long Pasia Airport","Long Miau"
"GSB","Seymour Johnson Air Force Base","Goldsboro"
